// 20k words/01
的	de5
配合	pei4he2
党委	dang3wei3
区域	qu1yu4
朱	zhu1
引导	yin3dao3
牌	pai2
金融	jin1rong2
贷款	dai4kuan3
销售	xiao1shou4
公共	gong1gong4
主体	zhu3ti3
感谢	gan3xie4
东北	dong1bei3
番	fan1
俱	ju4
亚洲	Ya4zhou1
相同	xiang1tong2
宁	ning4
具	ju4
河南	He2nan2
严肃	yan2su4
龙	long2
上述	shang4shu4
担任	dan1ren4
污染	wu1ran3
喊	han3
至于	zhi4yu2
成熟	cheng2shu2
痛苦	tong4ku3
地下	di4xia4
哭	ku1
票	piao4
遍	bian4
决心	jue2xin1
易	yi4
嘴	zui3
别的	bie2de5
卷	juan3
将来	jiang1lai2
路线	lu4xian4
不得不	bu4de2bu4
折	zhe2
主题	zhu3ti2
举办	ju3ban4
炮	pao4
防	fang2
降低	jiang4di1
用于	yong4yu2
森林	sen1lin2
是不是	shi4bu5shi4
此时	ci3shi2
承担	cheng2dan1
特	te4
博士	bo2shi4
今	jin1
落后	luo4hou4
人士	ren2shi4
动作	dong4zuo4
科研	ke1yan2
安	an1
查	cha2
作风	zuo4feng1
欲	yu4
得	de5
大型	da4xing2
尽	jin4
主持	zhu3chi2
桥	qiao2
看	kan4
床	chuang2
争取	zheng1qu3
伤	shang1
结果	jie2guo3
吃饭	chi1fan4
全球	quan2qiu2
运输	yun4shu1
宽	kuan1
协议	xie2yi4
法院	fa3yuan4
成本	cheng2ben3
少	shao4
当代	dang1dai4
日期	ri4qi1
行	xing2
天下	tian1xia4
抢	qiang3
薄	bao2
吴	Wu2
食品	shi2pin3
警察	jing3cha2
培训	pei2xun4
决策	jue2ce4
避免	bi4mian3
核心	he2xin1
接触	jie1chu4
依靠	yi1kao4
想象	xiang3xiang4
友好	you3hao3
老板	lao3ban3
似的	shi4de5
并非	bing4fei1
炸	zha4
色	se4
允许	yun3xu3
一生	yi4sheng1
基层	ji1ceng2
印象	yin4xiang4
推广	tui1guang3
节目	jie2mu4
啥	sha4
追	zhui1
戴	dai4
背	bei4
突破	tu1po4
转移	zhuan3yi2
奋斗	fen4dou4
时刻	shi2ke4
一套	yi1tao4
情感	qing2gan3
呢	ne5
多么	duo1me5
现场	xian4chang3
足球	zu2qiu2
思考	si1kao3
冷	leng3
末	mo4
整	zheng3
利	li4
大小	da4xiao3
平衡	ping2heng2
国有	guo2you3
出席	chu1xi2
富	fu4
补	bu3
熟悉	shu2xi1
医疗	yi1liao2
公民	gong1min2
涉及	she4ji2
界	jie4
资格	zi1ge2
乐	le4
正文	zheng4wen2
距离	ju4li2
老百姓	lao3bai3xing4
交换	jiao1huan4
卡	ka3
激动	ji1dong4
烧	shao1
熟	shu2
否则	fou3ze2
保险	bao3xian3
担	dan1
长江	Chang2jiang1
端	duan1
意思	yi4si5
财产	cai2chan3
凡	fan2
能源	neng2yuan2
趋势	qu1shi4
上升	shang4sheng1
记得	ji4de5
纪念	ji4nian4
计	ji4
市场经济	shi4chang3 jing1ji4
法制	fa3zhi4
奖	jiang3
亲切	qin1qie4
超	chao1
狗	gou3
不错	bu2cuo4
俄罗斯	E2luo2si1
运行	yun4xing2
饮	yin3
负责人	fu4ze2ren2
日益	ri4yi4
义务	yi4wu4
比例	bi3li4
生产力	sheng1chan3li4
休息	xiu1xi5
叶	ye4
游	you2
办事	ban4shi4
试验	shi4yan4
品种	pin3zhong3
的确	di2que4
患者	huan4zhe3
考试	kao3shi4
数字	shu4zi4
武装	wu3zhuang1
枪	qiang1
几	ji3
选举	xuan3ju3
羊	yang2
设立	she4li4
费用	fei4yong4
针对	zhen1dui4
进展	jin4zhan3
街道	jie1dao4
兴趣	xing4qu4
平等	ping2deng3
资本	zi1ben3
经理	jing1li3
地球	di4qiu2
相比	xiang1bi3
数	shu4
重庆	Chong2qing4
犯	fan4
改进	gai3jin4
办理	ban4li3
顿	dun4
样子	yang4zi5
多次	duo1ci4
营	ying2
咱们	zan2men5
挑战	tiao3zhan4
少	shao3
登	deng1
切实	qie4shi2
科学家	ke1xue2jia1
试	shi4
大地	da4di4
从此	cong2ci3
够	gou4
中的	zhong4di4
复	fu4
前面	qian2mian5
一阵	yi1zhen4
女人	nü3ren2
威胁	wei1xie2
系列	xi4lie4
事故	shi4gu4
从来	cong2lai2
深深	shen1shen1
修改	xiu1gai3
即将	ji2jiang1
人家	ren2jia5
香	xiang1
背景	bei4jing3
四川	Si4chuan1
结	jie1
计算机	ji4suan4ji1
作战	zuo4zhan4
美好	mei3hao3
命令	ming4ling4
引进	yin3jin4
戏剧	xi4ju4
党中央	Dang3zhong1yang1
朝鲜	Chao2xian3
实验	shi2yan4
法规	fa3gui1
题	ti2
官员	guan1yuan2
质	zhi4
造	zao4
环	huan2
首都	shou3du1
数据	shu4ju4
效益	xiao4yi4
信心	xin4xin1
传播	chuan2bo1
强大	qiang2da4
工具	gong1ju4
进程	jin4cheng2
处	chu3
穷	qiong2
气氛	qi4fen1
石油	shi2you2
效率	xiao4lü4
防止	fang2zhi3
海洋	hai3yang2
食	shi2
非洲	fei1zhou1
加大	jia1da4
特征	te4zheng1
所在	suo3zai4
女士	nü3shi4
用户	yong4hu4
激烈	ji1lie4
执法	zhi2fa3
贫困	pin2kun4
地上	di4shang4
视	shi4
喜	xi3
使得	shi3de5
北方	bei3fang1
宪法	xian4fa3
友谊	you3yi4
依据	yi1ju4
相应	xiang1ying4
鸡	ji1
联合国	Lian2he2 Guo2
回去	hui2qu5
显著	xian3zhu4
黄河	Huang2 He2
快速	kuai4su4
忘记	wang4ji4
失败	shi1bai4
小姐	xiao3jie3
猪	zhu1
对待	dui4dai4
持	chi2
负担	fu4dan1
青	qing1
风格	feng1ge2
摄	she4
皆	jie1
繁荣	fan2rong2
棵	ke1
更为	geng4wei2
就业	jiu4ye4
将军	jiang1jun1
列	lie4
地	di4
土地	tu3di4
情形	qing2xing5
旁	pang2
前来	qian2lai2
例如	li4ru2
会见	hui4jian4
推出	tui1chu1
替	ti4
后面	hou4mian5
兴奋	xing1fen4
申请	shen1qing3
湖	hu2
才能	cai2neng2
贴	tie1
板	ban3
仪式	yi2shi4
咱	zan2
理	li3
妻子	qi1zi5
结婚	jie2hun1
看法	kan4fa3
立场	li4chang3
角度	jiao3du4
日前	ri4qian2
职务	zhi2wu4
交给	jiao1gei3
实力	shi2li4
救	jiu4
准确	zhun3que4
吧	ba1
布	bu4
成长	cheng2zhang3
凭	ping2
俄	e2
春节	Chun1jie2
跟着	gen1zhe5
产	chan3
姓	xing4
盘	pan2
带领	dai4ling3
枚	mei2
赶	gan3
软件	ruan3jian4
甚	shen4
家长	jia1zhang3
临时	lin2shi2
邀请	yao1qing3
发言	fa1yan2
谋	mou2
以外	yi3wai4
巩固	gong3gu4
划	hua2
立法	li4fa3
感动	gan3dong4
树立	shu4li4
渐渐	jian4jian4
形	xing2
途径	tu2jing4
交往	jiao1wang3
灯	deng1
园	yuan2
周年	zhou1nian2
守	shou3
阴	yin1
围	wei2
风险	feng1xian3
牺牲	xi1sheng1
忽然	hu1ran2
市民	shi4min2
疾病	ji2bing4
本质	ben3zhi4
发达	fa1da2
律师	lü4shi1
白天	bai2tian1
接近	jie1jin4
团体	tuan2ti3
围绕	wei2rao4
这儿	zhe4r5
人数	ren2 shu4
善	shan4
村民	cun1min2
刀	dao1
媒体	mei2ti3
中华	Zhong1hua2
层次	ceng2ci4
门口	men2kou3
挖	wa1
完整	wan2zheng3
收到	shou1dao4
解	jie3
表	biao3
标志	biao1zhi4
众	zhong4
克	ke4
一方面	yi1 fang1mian4
导致	dao3zhi4
表达	biao3da2
参与	can1yu4
// 20k words/03
大多数	da4duo1shu4
许	xu3
少年	shao4nian2
指标	zhi3biao1
计算	ji4suan4
爱情	ai4qing2
多数	duo1shu4
呈	cheng2
妈	ma1
相	xiang4
治理	zhi4li3
放弃	fang4qi4
星	xing1
两岸	liang3an4
工厂	gong1chang3
不必	bu2bi4
摸	mo1
通信	tong1xin4
上去	shang4qu4
随后	sui2hou4
胡	hu2
公斤	gong1jin1
爬	pa2
尽快	jin3kuai4
确保	que4bao3
基金	ji1jin1
雪	xue3
一会儿	yi2hui4r5
挺	ting3
心灵	xin1ling2
散	san4
气候	qi4hou4
少数	shao3shu4
岗位	gang3wei4
思维	si1wei2
初步	chu1bu4
供应	gong1ying4
记录	ji4lu4
到处	dao4chu4
反而	fan3'er2
诗人	shi1ren2
做法	zuo4fa3
注重	zhu4zhong4
冠	guan4
大概	da4gai4
动力	dong4li4
交易	jiao1yi4
茶	cha2
恐怕	kong3pa4
青少年	qing1shao4nian2
红色	hong2se4
参观	can1guan1
院长	yuan4zhang3
力度	li4du4
鲜	xian1
公布	gong1bu4
外交	wai4jiao1
维持	wei2chi2
一时	yi4shi2
发行	fa1xing2
施工	shi1gong1
伊	yi1
反复	fan3fu4
众多	zhong4duo1
甲	jia3
粮	liang2
沟	gou1
防治	fang2zhi4
圆	yuan2
斤	jin1
远远	yuan3yuan3
声明	sheng1ming2
西藏	Xi1zang4
怪	guai4
煤	mei2
依	yi1
违法	wei2fa3
协会	xie2hui4
购买	gou4mai3
信任	xin4ren4
钻	zuan1
性格	xing4ge2
招	zhao1
冠军	guan4jun1
核	he2
平时	ping2shi2
浙江	Zhe4jiang1
夹	jia1
主人	zhu3ren2
存	cun2
男女	nan2-nü3
讯	xun4
深化	shen1hua4
司法	si1fa3
部署	bu4shu3
总体	zong3ti3
载	zai4
国民	guo2min2
转化	zhuan3hua4
立刻	li4ke4
上下	shang4xia4
对话	dui4hua4
环节	huan2jie2
条例	tiao2li4
眼光	yan3guang1
国民党	Guo2min2dang3
孙	sun1
灵魂	ling2hun2
近日	jin4ri4
愿望	yuan4wang4
学会	xue2hui4
斗	dou4
顺	shun4
失	shi1
图片	tu2pian4
健全	jian4quan2
难道	nan2dao4
位于	wei4yu2
其次	qi2ci4
冒	mao4
天地	tian1di4
慢慢	man4man4
在内	zai4nei4
人群	ren2qun2
命	ming4
大众	da4zhong4
适当	shi4dang4
合法	he2fa3
吸收	xi1shou1
隔	ge2
学科	xue2ke1
编	bian1
升	sheng1
面向	mian4xiang4
武汉	Wu3han4
瓦	wa3
既然	ji4ran2
大门	da4men2
志	zhi4
敌	di2
种种	zhong3zhong3
仅仅	jin3jin3
十一	Shi2-Yi1
女性	nü3xing4
南方	nan2fang1
跨	kua4
克服	ke4fu2
内心	nei4xin1
种植	zhong4zhi2
生动	sheng1dong4
躺	tang3
毕竟	bi4jing4
恐怖	kong3bu4
移动	yi2dong4
检验	jian3yan4
义	yi4
具备	ju4bei4
操作	cao1zuo4
他人	ta1ren2
坚定	jian1ding4
预防	yu4fang2
流动	liu2dong4
资本主义	zi1ben3 zhu3yi4
身份	shen1fen5
人大	Ren2da4
彼此	bi3ci3
木	mu4
丝	si1
展示	zhan3shi4
官兵	guan1bing1
缺	que1
样	yang4
色彩	se4cai3
课	ke4
新疆	Xin1jiang1
漂亮	piao4liang5
公园	gong1yuan2
腐败	fu3bai4
职能	zhi2neng2
累	lei4
快乐	kuai4le4
势	shi4
概念	gai4nian4
拖	tuo1
春天	chun1tian1
教学	jiao4xue2
研制	yan2zhi4
逃	tao2
机遇	ji1yu4
种子	zhong3zi5
母	mu3
脱	tuo1
队长	dui4zhang3
抗	kang4
编辑	bian1ji2
进攻	jin4gong1
取消	qu3xiao1
强化	qiang2hua4
东方	dong1fang1
公安	gong1an1
现有	xian4you3
进来	jin4lai5
发动	fa1dong4
履行	lü3xing2
外面	wai4mian5
事务	shi4wu4
地面	di4mian4
判断	pan4duan4
予以	yu3yi3
产量	chan3liang4
下面	xia4mian4
精神文明	jing1shen2 wen2ming2
危机	wei1ji1
温暖	wen1nuan3
战胜	zhan4sheng4
症	zheng4
规则	gui1ze2
择	ze2
挤	ji3
若干	ruo4gan1
队员	dui4yuan2
大批	da4pi1
委	wei3
明年	ming2nian2
改革开放	gai3ge2-kai1fang4
沿	yan2
登记	deng1ji4
念	nian4
正	zheng4
紧急	jin3ji2
制作	zhi4zuo4
机械	ji1xie4
泡	pao4
农产品	nong2chan3pin3
和谐	he2xie2
植物	zhi2wu4
由此	you2ci3
调	tiao2
治安	zhi4’an1
积极性	ji1ji2xing4
打破	da3po4
栏目	lan2mu4
谈判	tan2pan4
利润	li4run4
仔细	zi3xi4
韩国	Han2guo2
人民币	ren2min2bi4
皮	pi2
城镇	cheng2zhen4
背后	bei4hou4
选手	xuan3shou3
贵	gui4
间	jian1
号	hao4
湖南	Hu2nan2
考	kao3
乃	nai3
劳动力	lao2dong4li4
微笑	wei1xiao4
迎接	ying2jie1
配	pei4
生长	sheng1zhang3
诸	zhu1
凉	liang2
真是	zhen1shi5
之所以	zhi1 suo3yi3
思	si1
遭	zao1
蔬菜	shu1cai4
罗	luo2
严	yan2
文物	wen2wu4
碗	wan3
社区	she4qu1
个体	ge4ti3
嘛	ma5
房间	fang2jian1
苏联	Su1lian2
鸟	niao3
舞蹈	wu3dao3
资产	zi1chan3
公正	gong1zheng4
运动员	yun4dong4yuan2
座谈会	zuo4tan2hui4
思路	si1lu4
司机	si1ji1
闻	wen2
事物	shi4wu4
积累	ji1lei3
智慧	zhi4hui4
杂志	za2zhi4
中华民族	Zhong1hua2 Min2zu2
空	kong1
意志	yi4zhi4
闯	chuang3
提前	ti2qian2
略	lüe4
艺术家	yi4shu4jia1
之下	zhi1 xia4
非法	fei1fa3
推行	tui1xing2
对外	dui4wai4
温度	wen1du4
前提	qian2ti2
搬	ban1
怀疑	huai2yi2
指示	zhi3shi4
消失	xiao1shi1
课题	ke4ti2
献	xian4
类似	lei4si4
见面	jian4mian4
沉重	chen2zhong4
发布	fa1bu4
新型	xin1xing2
药品	yao4pin3
韩	Han2
屏	ping2
教训	jiao4xun5
透	tou4
古代	gu3dai4
等于	deng3yu2
骂	ma4
等待	deng3dai4
一行	yi1xing2
子女	zi3nü3
源	yuan2
上级	shang4ji2
欠	qian4
演	yan3
舞	wu3
独特	du2te4
随时	sui2shi2
打算	da3suan4
屋	wu1
纪律	ji4lü4
爱国	ai4guo2
港	gang3
曲	qu3
启动	qi3dong4
活力	huo2li4
迎	ying2
脑	nao3
分裂	fen1lie4
答应	da1ying5
调动	diao4dong4
收费	shou1fei4
简直	jian3zhi2
大队	da4dui4
意大利	yi4da4li4
政协	zheng4xie2
无疑	wu2yi2
患	huan4
无数	wu2shu4
欣赏	xin1shang3
签订	qian1ding4
违反	wei2fan3
表面	biao3mian4
秘密	mi4mi4
钟	zhong1
发	fa1
出来	chu1lai2
果	guo3
消除	xiao1chu2
服装	fu2zhuang1
军人	jun1ren2
接待	jie1dai4
海外	hai3wai4
经费	jing1fei4
公平	gong1ping2
执政	zhi2zheng4
记忆	ji4yi4
货币	huo4bi4
共有	gong4you3
气象	qi4xiang4
卫星	wei4xing1
独	du2
有限	you3xian4
好处	hao3chu5
评论	ping2lun4
访	fang3
损害	sun3hai4
懂得	dong3de5
汇报	hui4bao4
精	jing1
西北	xi1bei3
自治区	zi4zhi4qu1
舆论	yu2lun4
来信	lai2xin4
愈	yu4
人人	ren2ren2
要闻	yao4wen2
紧密	jin3mi4
好几	hao3ji3
带动	dai4dong4
遇	yu4
政权	zheng4quan2
对手	dui4shou3
阶级	jie1ji2
遭到	zao1dao4
职责	zhi2ze2
开拓	kai1tuo1
整顿	zheng3dun4
展	zhan3
痛	tong4
士兵	shi4bing1
玻璃	bo1li5
慢	man4
家乡	jia1xiang1
主管	zhu3guan3
善于	shan4yu2
光荣	guang1rong2
不良	bu4liang2
能否	neng2fou3
稍	shao1
年轻人	nian2qing1ren2
冰	bing1
哩	li5
弱	ruo4
江苏	Jiang1su1
骑	qi2
本人	ben3ren2
调	diao4
国防	guo2fang2
输	shu1
手术	shou3shu4
奥运会	Ao4yun4hui4
禁止	jin4zhi3
绝	jue2
个别	ge4bie2
微	wei1
人均	ren2jun1
车辆	che1liang4
制约	zhi4yue1
继承	ji4cheng2
各界	ge4jie4
伙伴	huo3ban4
东西	dong1xi5
总书记	Zong3shu1ji5
障碍	zhang4’ai4
手续	shou3xu4
劝	quan4
抽	chou1
联	lian2
培育	pei2yu4
会谈	hui4tan2
说法	shuo1fa3
动员	dong4yuan2
红军	Hong2jun1
晴	qing2
税收	shui4shou1
当时	dang1shi2
旁边	pang2bian1
终	zhong1
刺激	ci4ji1
前后	qian2hou4
权益	quan2yi4
恶	e4
率领	shuai4ling3
唐	tang2
异常	yi4chang2
下岗	xia4gang3
到来	dao4lai2
分布	fen1bu4
学院	xue2yuan4
撒	sa1
害	hai4
危害	wei1hai4
塞	sai1
洋	yang2
告	gao4
逼	bi1
寄	ji4
澳门	Ao4men2
呈现	cheng2xian4
增	zeng1
话题	hua4ti2
暂时	zan4shi2
乡镇	xiang1zhen4
云南	Yun2nan2
广播	guang3bo1
不幸	bu2xing4
估计	gu1ji4
小康	xiao3kang1
哥	ge1
环保	huan2bao3
毫无	hao2wu2
井	jing3
肯	ken3
人民政府	ren2min2 zheng4fu3
平方米	ping2fang1mi3
广场	guang3chang3
房屋	fang2wu1
缺少	que1shao3
草原	cao3yuan2
高校	gao1xiao4
宏观	hong2guan1
少数民族	shao3shu4 min2zu2
民众	min2zhong4
家属	jia1shu2
几	ji1
内地	nei4di4
挑	tiao1
刚才	gang1cai2
徐	xu2
岛	dao3
共产党员	Gong4chan3dang3yuan2
山区	shan1qu1
假	jia3
角色	jue2se4
周刊	zhou1kan1
总经理	zong3jing1li3
医学	yi1xue2
富有	fu4you3
哪儿	na3r5
西安	Xi1an1
有利	you3li4
得以	de2yi3
流行	liu2xing2
采	cai3
以往	yi3wang3
锻炼	duan4lian4
品牌	pin3pai2
轻松	qing1song1
意外	yi4wai4
步伐	bu4fa2
瞧	qiao2
皇帝	huang2di4
拟	ni3
腰	yao1
兄弟	xiong1di4
搭	da1
间	jian4
故意	gu4yi4
清理	qing1li3
山西	Shan1xi1
财富	cai2fu4
证据	zheng4ju4
陪	pei2
了	liao3
前景	qian2jing3
装备	zhuang1bei4
赢	ying2
之际	zhi1ji4
建国	jian4//guo2
可见	ke3jian4
杭州	Hang2zhou1
城乡	cheng2xiang1
爆炸	bao4zha4
哪个	na3ge5
汉	Han4
齐	qi2
清醒	qing1xing3
优质	you1zhi4
林业	lin2ye4
漂	piao1
乡村	xiang1cun1
败	bai4
听见	ting1jian4
丢	diu1
补充	bu3chong1
优化	you1hua4
千万	qian1wan4
赢得	ying2de2
住房	zhu4fang2
影片	ying3pian4
中共	Zhong1-Gong4
草案	cao3’an4
成都	Cheng2du1
摇	yao2
双手	shuang1shou3
论坛	lun4tan2
渠道	qu2dao4
赛	sai4
回忆	hui2yi4
婚姻	hun1yin1
客	ke4
夏	xia4
罢	ba4
工会	gong1hui4
议会	yi4hui4
艰难	jian1nan2
员	yuan2
待	dai4
石头	shi2tou5
不论	bu2lun4
欧盟	Ou1meng2
市政府	shi4zheng4fu3
考核	kao3he2
体会	ti3hui4
银	yin2
达成	da2cheng2
软	ruan3
扶贫	fu2pin2
机场	ji1chang3
同胞	tong5bao5
零	ling2
厚	hou4
场所	chang3suo3
节约	jie2yue1
头发	tou2fa5
曲	qu1
成效	cheng2xiao4
确	que4
如同	ru2tong2
福建	Fu2jian4
暗	an4
前往	qian2wang3
奔	ben1
重复	chong2fu4
袭击	xi2ji1
流通	liu2tong1
一手	yi4shou3
知识分子	zhi1shi5fen4zi3
说道	shuo1dao4
病毒	bing4du4
广西	Guang3xi1
擦	ca1
显	xian3
优良	you1liang2
秋	qiu1
身子	shen1zi5
巴黎	Ba1li2
详细	xiang2xi4
价	jia4
太太	tai4tai5
外资	wai4zi1
秘书长	mi4shu1zhang3
攻	gong1
提醒	ti2xing3
货	huo4
出版社	chu1ban3she4
有机	you3ji1
喝	he1
海关	hai3guan1
公安局	gong1’an1ju2
群体	qun2ti3
射	she4
托	tuo1
真理	zhen1li3
当今	dang1jin1
固定	gu4ding4
安置	an1zhi4
条约	tiao2yue1
照顾	zhao4gu5
审批	shen3pi1
差距	cha1ju4
呆	dai1
咨询	zi1xun2
决议	jue2yi4
东部	dong1bu4
政	zheng4
青春	qing1chun1
地点	di4dian3
确立	que4li4
河北	He2bei3
插	cha1
目	mu4
区别	qu1bie2
大胆	da4dan3
人事	ren2shi4
适用	shi4yong4
发展中国家	fa1zhan3zhong1 guo2jia1
辉煌	hui1huang2
情节	qing2jie2
创建	chuang4jian4
作业	zuo4ye4
电力	dian4li4
预报	yu4bao4
探讨	tan4tao3
鞋	xie2
饭店	fan4dian4
手机	shou3ji1
党支部	dang3zhi1bu4
俺	an3
境内	jing4nei4
自主	zi4zhu3
适合	shi4he2
营养	ying2yang3
上市	shang4shi4
同期	tong2qi1
咬	yao3
结论	jie2lun4
头脑	tou2nao3
最好	zui4hao3
秒	miao3
减	jian3
活跃	huo2yue4
竟然	jing4ran2
一律	yi2lü4
自行车	zi4xing2che1
再说	zai4 shuo1
礼	li3
议	yi4
基因	ji1yin1
幕	mu4
最初	zui4chu1
援助	yuan2zhu4
统	tong3
想法	xiang3fa5
网上	wang3shang4
算是	suan4shi4
剩下	sheng4xia5
陆续	lu4xu4
信用	xin4yong4
普及	pu3ji2
俩	lia3
审查	shen3cha2
平静	ping2jing4
移	yi2
体验	ti3yan4
乃至	nai3zhi4
勇气	yong3qi4
经贸	jing1mao4
游客	you2ke4
果然	guo3ran3
减轻	jian3qing1
整理	zheng3li3
著作	zhu4zuo4
过	guo5
自从	zi4cong2
请求	qing3qiu2
奇怪	qi2guai4
顾	gu4
株	zhu1
会长	hui4zhang3
娘	niang2
支付	zhi1fu4
移民	yi2min2
眼泪	yan3lei4
发扬	fa1yang2
绕	rao4
差不多	cha4bu5duo1
认	ren4
艰苦	jian1ku3
一路	yi1lu4
丈夫	zhang4fu5
轨道	gui3dao4
居住	ju1zhu4
未能	wei4neng2
创业	chuang4ye4
数学	shu4xue2
静	jing4
客户	ke4hu4
纠纷	jiu1fen1
含量	han2liang4
合格	he2ge2
广阔	guang3kuo4
灰	hui1
承诺	cheng2nuo4
舍	she4
自动	zi4dong4
遂	sui4
耕地	geng1di4
解放军	jie3fang4jun1
庆祝	qing4zhu4
窗口	chuang1kou3
保留	bao3liu2
盐	yan2
什么样	shen2me5yang4
专项	zhuan1xiang4
人民法院	ren2min2 fa3yuan4
收购	shou1gou4
宋	Song4
猫	mao1
极其	ji2qi2
赶到	gan3dao4
写作	xie3zuo4
亿	yi4
陕西	Shan3xi1
呼吁	hu1yu4
常委	chang2wei3
试点	shi4dian3
空中	kong1zhong1
党组织	dang3zu3zhi1
攻击	gong1ji1
置	zhi4
洞	dong4
波	bo1
发达国家	fa1da2 guo2jia1
欧	Ou1
承包	cheng2bao1
祝贺	zhu4he4
据说	ju4shuo1
潜力	qian2li4
严厉	yan2li4
当局	dang1ju2
预算	yu4suan4
配套	pei4//tao4
节日	jie2ri4
出台	chu1tai2
农户	nong2hu4
闭	bi4
旗	qi2
听取	ting1qu3
内涵	nei4han2
设置	she4zhi4
以便	yi3bian4
哥哥	ge1ge5
鲜明	xian1ming2
摆脱	bai3tuo1
其余	qi2yu2
进口	jin4kou3
亚	ya4
展览	zhan3lan3
横	heng2
叫做	jiao4zuo4
地理	di4li3
味	wei4
抓紧	zhua1//jin3
扑	pu1
通常	tong1chang2
中午	zhong1wu3
难题	nan2ti2
正如	zheng4ru2
审议	shen3yi4
湖北	Hu2bei3
曾	ceng2
奉献	feng4xian4
宗旨	zong1zhi3
感染	gan3ran3
签署	qian1shu3
大使	da4shi3
大多	da4duo1
不禁	bu4jin3
中外	zhong1wai4
吸	xi1
一带	yi1dai4
要是	yao4shi5
夫妇	fu1fu4
高原	gao1yuan2
极为	ji2wei2
觉	jue2
相继	xiang1ji4
失业	shi1ye4
飞行	fei1xing2
当事人	dang1shi4ren2
夺	duo2
工艺	gong1yi4
剧	ju4
税	shui4
拉开	la1kai1
恨	hen4
预计	yu4ji4
局势	ju2shi4
流域	liu2yu4
精心	jing1xin1
宝贵	bao3gui4
往来	wang3lai2
产业化	chan3ye4hua4
货物	huo4wu4
出于	chu1yu2
摄影	she4ying3
格外	ge2wai4
追究	zhui1jiu1
示范	shi4fan4
耕	geng1
毕业生	bi4ye4sheng1
循环	xun2huan2
旅	lü3
网站	wang3zhan4
研讨会	yan2tao3hui4
检测	jian3ce4
发射	fa1she4
主办	zhu3ban4
垃圾	la1ji1
土壤	tu3rang3
料	liao4
奶奶	nai3nai5
爷爷	ye2ye5
征	zheng1
人格	ren2ge2
翻译	fan1yi4
伤害	shang1hai4
大局	da4ju2
秀	xiu4
处罚	chu3fa2
模范	mo2fan4
年度	nian2du4
妻	qi1
劳动者	lao2dong4zhe3
旅客	lü3ke4
玉	yu4
游戏	you2xi4
人权	ren2quan2
新鲜	xin1xian1
实事求是	shi2shi4 qiu2shi4
支出	zhi1chu1
早晨	zao3chen2
最佳	zui4jia1
止	zhi3
纳入	na4ru4
物资	wu4zi1
热闹	re4nao5
人心	ren2xin1
怎么样	zen3me5yang4
监管	jian1guan3
热爱	re4ai4
查处	cha2chu3
总量	zong3liang4
回头	hui2tou2
加拿大	Jia1na2da4
莫	mo4
转	zhuan3
权威	quan2wei1
审判	shen3pan4
考验	kao3yan4
舍	she3
精力	jing1li4
陷入	xian4ru4
扎	zha1
棉花	mian2hua5
骨	gu3
脱离	tuo1li2
鉴定	jian4ding4
相反	xiang1fan3
人次	ren2ci4
工商	gong1shang1
冲击	chong1ji1
发放	fa1fang4
此后	ci3hou4
族	zu2
提升	ti2sheng1
火车	huo3che1
协商	xie2shang1
肖	xiao4
开会	kai1 hui4
地震	di4zhen4
虎	hu3
人工	ren2gong1
呵	he1
练	lian4
牵	qian1
讨	tao3
天空	tian1kong1
种	zhong4
素	su4
民警	min2jing3
格局	ge2ju2
偷	tou1
私	si1
音	yin1
技能	ji4neng2
藏	cang2
来源	lai2yuan2
瓶	ping2
不用	bu2yong4
带有	dai4you3
竞争力	jing4zheng1li4
全局	quan2ju2
法官	fa3guan1
居然	ju1ran2
人体	ren2ti3
金牌	jin1pai2
公众	gong1zhong4
监	jian1
绿化	lü4hua4
江西	Jiang1xi1
遵守	zun1shou3
哪些	na3xie1
类型	lei4xing2
捧	peng3
发明	fa1ming2
提倡	ti2chang4
严峻	yan2jun4
毒	du2
创造性	chuang4zao4xing4
夫妻	fu1qi1
惊	jing1
旗帜	qi2zhi4
面貌	mian4mao4
川	chuan1
联赛	lian2sai4
俱乐部	ju4le4bu4
下乡	xia4xiang1
到达	dao4da2
增收	zeng1shou1
政党	zheng4dang3
野	ye3
